Name,Age,Gender,Platform,User_experience,Color Scheme,Visual Hierarchy,Typography,Images and Multimedia,Layout,Mobile Responsiveness,CTA (Call to Action) Buttons,Forms and Input Fields,Feedback and Error Messages,Loading Speed,Personalization,Accessibility,Animation and Transitions,Scrolling_Behavior,Gestures and Touch Controls,Search Functionality,Social_Media_Integration
Imran Khan,68,male,Youtube,Efficient,4,4,3,4,5,5,3,4,5,4,4,3,4,5,4,5,4
Suraiya Sultana,52,female,Facebook,Engaging,5,4,5,5,5,4,3,4,4,5,3,5,4,4,4,5,4
Abdul Haque,21,male,Instagram,Adequate,3,3,4,4,5,5,4,5,4,5,3,5,4,5,5,4,4
Monira Begum,46,female,Twitter,Inconsistent Navigation,4,4,4,4,5,5,5,5,4,5,5,4,5,5,4,4,4
Anwar Hossain,49,male,Twitter,Well-structured,4,3,3,5,4,5,3,5,5,5,4,5,4,5,5,4,4
Rubina Akhtar,31,female,Facebook,Inconsistent Navigation,5,4,4,4,5,5,4,5,4,5,5,3,4,4,3,4,5
Jahangir Alam,74,male,Twitter,Inconsistent Navigation,5,3,4,5,5,4,5,4,3,3,5,4,5,5,4,4,5
Shahnaz Parveen,47,female,Website,Adequate,5,3,3,5,4,5,4,3,4,3,5,4,3,5,4,4,5
Abdul Karim,53,male,Facebook,Limited Menu Options,4,4,4,3,4,4,5,3,3,5,5,4,5,4,5,5,4
Selina Khanam,63,female,Facebook,Clear and concise,4,5,4,4,5,5,5,5,4,4,4,5,5,3,4,4,4
Mansur Ali,53,male,Youtube,Confusing,5,4,3,5,5,5,4,5,4,3,4,5,3,4,3,4,5
Mahmuda Akhter,63,female,Instagram,Well-structured,4,5,4,5,4,4,3,5,4,3,5,3,5,3,5,4,5
Abdul Bari,37,male,Facebook,Inconsistent Navigation,5,3,3,5,4,4,4,3,4,5,5,4,4,5,4,4,3
Shahida Parveen,58,female,Youtube,Adequate,4,5,4,4,5,4,4,3,4,4,5,5,4,4,5,3,5
Rafiq Ahmed,42,male,Instagram,Inconsistent Navigation,5,4,4,3,3,4,4,5,4,5,5,4,4,4,5,5,3
Khadija Sultana,50,female,Twitter,Limited Menu Options,3,4,5,4,5,4,5,4,5,4,4,3,4,4,5,5,4
Amirul Islam,68,male,Youtube,Well-structured,4,4,4,5,3,5,4,4,4,4,4,5,4,5,5,3,4
Hasina Begum,27,female,Website,Inconsistent Navigation,4,5,4,3,4,4,4,3,5,5,5,4,3,4,3,4,4
Mustafa Kamal,35,male,Facebook,Limited Menu Options,4,3,3,4,5,4,5,5,4,3,4,5,3,5,3,4,5
Nasima Akhtar,63,female,Instagram,Limited Menu Options,3,5,4,5,5,4,4,4,3,5,4,4,4,4,4,4,4
Ahmed Ali,24,male,Twitter,Intuitive,4,4,3,4,4,5,5,4,4,5,4,4,4,4,5,4,5
Hasna Parveen,28,female,Youtube,Adequate,5,3,4,3,5,3,4,4,3,3,4,4,3,4,4,5,5
Nurul Islam,60,male,Website,Clear and concise,4,5,3,4,4,5,4,3,5,5,3,3,4,4,4,4,5
Saheda Khanam,46,female,Twitter,Inconsistent Navigation,5,3,4,5,5,3,5,5,5,4,4,5,3,4,3,5,5
Anisur Rahman,37,male,Twitter,Confusing,4,3,4,3,5,5,4,4,3,3,3,5,3,4,5,5,3
Rokeya Akhter,73,female,Website,Engaging,4,4,5,4,4,4,5,4,4,4,4,5,5,5,5,4,4
Azizul Haque,50,male,Twitter,Efficient,5,5,4,4,5,4,5,5,5,4,3,4,4,3,4,4,4
Rahima Begum,34,female,Website,Confusing,4,5,3,4,4,4,4,4,4,4,4,3,4,4,5,5,5
Nurul Amin,21,male,Facebook,Engaging,4,5,4,5,4,4,5,4,4,5,5,3,4,5,5,4,4
Jasmine Khanam,67,female,Youtube,Confusing,4,5,4,3,4,4,5,4,4,3,4,4,3,5,4,4,3
Abdul Jabbar,61,male,Website,Well-structured,3,5,4,4,5,4,5,4,3,3,5,4,4,4,5,5,5
Shahida Akhtar,41,female,Youtube,Efficient,4,4,4,4,3,4,5,4,3,5,3,4,3,4,4,5,4
Rafiq Mia,61,male,Facebook,Limited Menu Options,4,3,5,3,4,5,4,4,5,4,4,5,4,5,5,4,5
Parveen Sultana,72,female,Website,Limited Menu Options,5,4,5,3,4,3,5,4,3,4,4,5,5,5,4,5,4
Abdus Salam,69,male,Website,Confusing,5,3,4,5,4,4,4,5,5,4,4,4,4,5,5,4,5
Amina Akhter,19,female,Facebook,Limited Menu Options,5,5,4,5,4,4,4,4,4,4,4,4,5,5,4,5,4
Kazi Rahman,39,male,Website,Adequate,3,4,4,3,4,4,4,5,5,3,4,3,4,4,4,3,3
Taslima Begum,50,female,Youtube,Well-structured,4,3,4,4,5,3,4,5,3,3,4,5,4,4,5,3,4
Mostafizur Rahman,50,male,Instagram,Limited Menu Options,5,3,4,5,5,5,5,5,5,4,3,4,4,4,5,4,4
Saira Khanam,38,female,Twitter,Adequate,4,4,4,3,4,4,4,3,5,4,3,4,3,4,4,3,4
Shamim Ahmed,27,male,Twitter,Well-structured,4,3,4,4,4,4,3,5,4,4,3,3,5,4,4,4,3
Hasina Akhtar,28,female,Twitter,Clear and concise,3,4,4,3,4,4,4,4,5,4,3,4,4,5,5,3,4
Mustak Ahmed,25,male,Twitter,Engaging,4,4,3,3,4,5,4,3,4,4,3,4,4,4,5,4,4
Salma Khanam,30,female,Youtube,Efficient,3,5,3,3,3,4,4,5,5,5,5,3,4,4,3,5,5
Shahid Mia,49,male,Twitter,Adequate,4,5,4,4,4,4,4,3,3,5,3,3,5,3,3,4,5
Khurshida Sultana,42,female,Website,Limited Menu Options,4,4,4,3,5,4,5,4,4,5,4,4,4,3,5,5,4
Harunur Rashid,48,male,Website,Clear and concise,3,4,4,4,5,4,4,5,4,5,5,4,3,4,3,4,4
Fahmida Akhter,52,female,Youtube,Well-structured,4,3,4,3,4,4,4,5,3,4,4,5,4,4,4,4,4
Akbar Ali,56,male,Website,User-Friendly,4,4,4,3,3,4,5,3,3,4,3,4,4,4,4,4,3
Shahana Begum,33,female,Website,Well-structured,4,4,4,3,4,3,4,4,4,3,5,4,5,4,4,3,3
Nasir Uddin,23,male,Youtube,Well-structured,3,3,3,4,4,4,5,4,3,3,5,5,4,4,4,5,3
Mahbuba Khanam,36,female,Facebook,Engaging,3,4,4,4,4,4,5,4,5,5,4,4,5,4,5,4,5
Abdul Majid,47,male,Youtube,Efficient,5,5,4,4,4,5,3,4,4,3,5,4,4,4,3,3,3
Farzana Akhtar,26,female,Twitter,Clear and concise,3,4,4,3,5,5,3,4,5,4,5,4,4,5,4,4,5
Mujibur Rahman,62,male,Facebook,Adequate,4,5,4,3,4,5,5,3,5,3,4,3,4,5,5,5,4
Shaheda Sultana,25,female,Facebook,Intuitive,4,4,4,4,4,4,3,5,4,5,3,3,3,4,3,5,3
Ruhul Amin,69,male,Instagram,Well-structured,4,4,4,4,4,5,5,4,4,3,4,3,4,3,5,5,5
Tahmina Begum,32,female,Twitter,User-Friendly,3,3,4,3,3,4,5,4,4,4,5,5,4,3,5,4,4
Abul Kalam,57,male,Twitter,Efficient,5,4,3,4,4,4,5,4,4,4,3,5,3,4,4,3,4
Rozina Khanam,67,female,Twitter,Inconsistent Navigation,4,3,4,4,5,5,4,5,5,4,5,4,5,4,3,4,5
Abdul Gani,42,male,Instagram,Inconsistent Navigation,4,5,4,4,4,5,4,4,5,4,5,4,3,4,4,4,5
Nurun Nahar,30,female,Twitter,Intuitive,5,3,3,4,4,4,4,4,5,3,4,5,3,4,5,4,3
Jahirul Islam,33,male,Instagram,Confusing,4,4,3,4,4,4,4,4,5,4,4,4,5,3,4,5,5
Shahana Akhter,67,female,Website,Engaging,4,5,3,4,3,4,4,3,5,5,5,4,5,5,4,4,4
Sharif Uddin,71,male,Youtube,Intuitive,4,3,4,4,4,4,4,4,3,5,4,3,4,5,4,4,4
Shabnam Khanam,23,female,Website,Confusing,4,5,3,4,4,3,3,5,3,3,4,4,4,4,4,5,5
Abdul Khalek,70,male,Youtube,Intuitive,5,3,4,3,5,5,5,3,4,3,4,5,4,3,4,4,3
Laila Begum,69,female,Twitter,Clear and concise,5,5,3,3,4,4,4,4,4,4,3,4,5,5,3,5,4
Mohiuddin Ahmed,60,male,Twitter,Engaging,3,4,4,5,4,4,4,4,3,3,5,3,4,5,4,4,3
Rehana Akhtar,34,female,Instagram,Clear and concise,3,5,4,5,5,5,5,5,4,5,4,3,4,4,4,5,4
Abdul Quddus,19,male,Instagram,Well-structured,5,4,4,5,4,5,5,3,4,5,5,4,3,5,3,4,5
Mumtaz Begum,53,female,Website,Engaging,4,4,4,4,4,3,5,5,3,4,5,5,4,4,3,3,4
Shariful Islam,74,male,Youtube,Limited Menu Options,5,4,4,5,4,4,4,5,5,4,5,4,5,5,5,5,4
Rozina Sultana,54,female,Twitter,Limited Menu Options,3,5,4,3,4,5,4,4,5,3,5,5,5,4,4,4,5
Fazlur Rahman,61,male,Instagram,Limited Menu Options,3,3,4,3,5,4,4,3,4,3,4,5,4,3,3,3,3
Shamima Akhter,56,female,Youtube,User-Friendly,3,5,4,4,4,4,3,5,3,4,4,5,4,4,3,3,4
Abdul Jalil,34,male,Website,Clear and concise,3,4,4,5,5,4,4,4,4,4,4,4,5,4,4,5,4
Morjina Akhtar,76,female,Youtube,Confusing,5,5,4,4,4,4,4,4,4,4,5,4,3,5,3,5,4
Kamal Uddin,61,male,Instagram,Inconsistent Navigation,4,4,4,4,3,4,4,5,4,3,5,5,4,4,4,4,3
Shabina Begum,56,female,Youtube,Adequate,4,4,4,5,5,4,4,3,5,4,4,4,4,5,5,4,4
Abdus Sobhan,46,male,Website,Well-structured,4,4,5,4,5,4,5,3,4,5,4,5,4,4,3,4,4
Nazma Khanam,59,female,Youtube,Well-structured,3,4,4,4,3,5,4,3,4,5,3,4,4,5,4,4,5
Ismail Hossain,75,male,Twitter,Clear and concise,5,5,4,3,5,4,4,5,4,4,3,4,5,4,4,5,4
Sahera Akhter,60,female,Youtube,Well-structured,5,4,4,3,4,5,5,4,4,4,5,4,4,4,4,4,4
Khaled Mahmud,39,male,Youtube,Adequate,4,3,4,4,5,4,4,3,4,5,4,4,5,5,4,3,3
Shahnur Mia,30,female,Twitter,Efficient,4,5,3,5,4,4,5,4,4,5,5,4,4,3,3,5,4
Momena Begum,32,male,Instagram,Efficient,5,3,4,4,4,4,4,5,4,4,4,5,4,4,5,4,4
Rafiqul Mia,20,female,Youtube,Intuitive,4,4,4,3,4,3,3,5,3,4,3,3,4,3,4,4,5
Rukhsana Sultana,55,male,Facebook,Inconsistent Navigation,4,5,4,4,4,4,5,4,5,3,4,4,4,4,5,5,4
Alauddin Ahmed,65,female,Youtube,Well-structured,5,4,4,5,5,5,5,5,5,5,4,4,5,3,4,5,4
Lutfur Rahman,59,male,Youtube,User-Friendly,3,4,4,5,4,4,5,4,4,4,4,4,5,4,4,3,4
Tahera Begum,32,female,Twitter,Engaging,4,5,3,4,4,5,4,4,4,5,5,4,5,3,4,4,4
Sajjad Hossain,56,male,Website,User-Friendly,5,3,4,4,3,5,4,3,3,4,4,5,5,4,5,3,5
Saleha Khanam,57,female,Facebook,Clear and concise,3,5,3,5,4,5,4,4,5,5,4,5,5,4,4,4,5
Fazlur Mia,53,male,Instagram,Well-structured,3,4,4,3,4,4,3,5,4,4,4,4,4,5,3,5,5
Sufia Akhtar,45,female,Website,Limited Menu Options,5,4,5,4,5,4,3,4,4,4,4,5,4,5,3,3,3
Sajedul Islam,24,male,Instagram,User-Friendly,5,3,4,5,4,4,5,5,3,4,3,4,3,4,4,5,3
Nurjahan Begum,39,female,Youtube,Intuitive,3,4,3,4,5,4,5,4,4,3,5,4,4,4,4,4,4
Mansur Rahman,70,male,Twitter,Confusing,5,5,4,3,3,4,4,5,4,4,4,4,4,5,3,4,4
Firoza Khanam,53,female,Youtube,Confusing,5,5,5,4,5,4,4,5,4,4,4,5,4,4,5,4,4
Shahedul Mia,34,male,Youtube,Intuitive,5,3,3,4,5,3,4,3,5,3,4,4,4,4,4,3,4
Salima Akhter,57,female,Youtube,Engaging,5,4,4,4,5,4,4,5,4,4,4,5,4,5,4,5,4
Abdul Khader,66,male,Facebook,Confusing,4,4,4,4,5,5,4,3,4,4,3,5,5,5,3,4,4
Marjia Begum,37,female,Twitter,Clear and concise,4,4,5,5,4,4,5,4,5,4,4,5,4,5,3,4,4
Hossain Ali,25,male,Facebook,Engaging,5,3,4,5,5,4,4,4,3,3,5,5,5,3,4,5,5
Afroza Khanam,33,female,Website,Inconsistent Navigation,5,3,4,4,3,4,4,4,5,4,3,4,5,4,4,3,3
Zakir Hossain,76,male,Instagram,Well-structured,4,4,4,4,5,4,4,3,5,4,5,3,5,3,5,4,4
Sumaiya Akhtar,32,female,Instagram,Well-structured,4,4,4,4,4,4,5,3,3,3,4,4,4,4,5,5,5
Mujib Mia,63,male,Website,Intuitive,5,3,4,4,5,4,4,4,4,3,5,5,4,3,5,5,3
Selima Sultana,40,female,Instagram,Efficient,5,4,5,5,5,5,4,4,4,4,3,3,4,5,4,5,4
Habibul Haque,42,male,Youtube,Efficient,4,4,4,3,5,4,4,5,3,4,5,4,4,4,4,3,4
Razia Begum,74,female,Youtube,Efficient,4,5,4,5,5,4,3,5,5,4,4,3,4,4,4,5,4
Sharif Mia,29,male,Youtube,User-Friendly,3,5,4,3,3,4,4,4,4,5,3,5,4,3,3,4,4
Aleya Akhter,29,female,Facebook,Well-structured,4,4,4,4,5,4,4,5,3,4,4,4,5,4,4,4,4
Mahfuzur Rahman,51,male,Facebook,Inconsistent Navigation,5,4,3,4,4,4,4,5,4,3,4,4,4,3,5,4,5
Nasir Mia,52,female,Twitter,Adequate,3,5,3,3,3,3,4,3,4,5,4,5,4,5,4,4,4
Rashida Sultana,61,male,Website,Confusing,4,4,5,4,5,3,4,5,4,4,3,3,5,3,4,3,4
Abu Bakar,28,female,Instagram,Intuitive,3,4,4,4,4,3,5,5,3,3,4,4,4,5,4,5,3
Shaila Akhtar,66,male,Twitter,Confusing,5,4,4,4,4,4,4,5,4,4,4,5,5,4,4,4,5
Salim Ahmed,22,female,Twitter,Efficient,4,4,4,3,4,5,4,4,3,5,4,5,3,3,3,4,5
Mina Begum,57,male,Website,Clear and concise,4,3,4,4,4,4,5,4,4,4,4,4,4,5,4,4,5
Abul Hasan,23,female,Facebook,User-Friendly,5,4,4,4,3,4,5,4,4,5,5,4,5,5,4,4,4
Rojina Khanam,25,male,Instagram,Engaging,4,3,4,5,4,5,4,5,5,4,4,5,5,5,4,3,4
Abdul Quader,53,female,Instagram,Clear and concise,4,5,3,4,3,3,5,5,4,4,4,5,4,4,4,5,4
Firoz Akhtar,63,male,Facebook,Confusing,3,3,4,4,4,3,4,4,5,4,4,4,4,4,4,5,4
Nurul Haque,60,female,Instagram,Intuitive,4,5,5,4,4,4,4,4,4,5,4,5,5,4,4,5,5
Ruma Begum,73,male,Youtube,Clear and concise,5,5,4,4,3,3,5,4,3,5,4,5,3,4,4,3,3
Mokbul Hossain,21,female,Instagram,Adequate,3,4,5,4,4,5,4,5,5,3,5,4,4,3,4,4,4
Hasina Akhter,37,male,Facebook,Limited Menu Options,5,5,4,4,4,4,5,4,4,5,3,4,4,5,4,4,5
Abdul Mannan,74,female,Youtube,Clear and concise,4,5,4,5,4,4,4,3,5,4,3,4,4,3,4,4,5
Sabina Khanam,62,male,Website,Intuitive,5,4,4,4,5,4,4,5,4,4,5,4,4,4,5,4,4
Shah Alam,29,female,Twitter,Confusing,5,3,4,5,5,5,4,5,5,4,5,4,4,5,4,4,5
Shahinur Akhtar,30,male,Facebook,Inconsistent Navigation,4,4,4,5,4,4,4,3,4,5,5,5,4,5,5,3,4
Ruhul Kabir,31,female,Instagram,Clear and concise,5,5,4,4,4,5,4,4,5,4,4,4,4,4,3,5,4
Nasrin Begum,38,male,Instagram,Limited Menu Options,5,4,4,3,5,5,4,3,3,3,5,4,4,4,4,5,4
Mostafa Mia,60,female,Website,Adequate,5,4,4,4,4,4,5,4,5,4,3,3,5,3,5,3,3
Amina Sultana,69,male,Twitter,Limited Menu Options,4,4,4,5,4,4,4,5,4,4,5,5,5,4,4,4,5
Mamunur Rahman,25,female,Website,User-Friendly,5,3,4,4,5,4,4,4,4,4,4,3,3,4,5,4,4
Fatema Khanam,21,male,Instagram,Clear and concise,5,4,5,5,5,5,4,4,4,4,4,5,5,5,4,5,3
Nur Alam,51,female,Facebook,Inconsistent Navigation,3,4,4,4,4,4,5,3,3,4,4,4,4,4,5,5,3
Fahima Akhtar,54,male,Website,Limited Menu Options,4,3,5,5,4,5,5,4,3,3,3,5,4,3,4,5,3
Habibur Mia,42,female,Website,Limited Menu Options,5,5,4,4,5,4,4,5,4,5,3,4,4,4,4,5,4
Sultana Parvin,41,male,Instagram,Confusing,4,4,4,5,4,4,4,4,3,4,4,3,5,3,3,4,3
Azad Rahman,55,female,Instagram,Intuitive,5,3,4,4,4,4,5,5,4,3,4,3,5,5,4,5,4
Nargis Begum,35,male,Facebook,Confusing,5,4,4,4,4,5,4,5,3,3,4,4,4,4,4,4,5
Abdul Kuddus,57,female,Instagram,Inconsistent Navigation,3,4,4,4,5,4,4,4,5,4,3,5,4,4,4,5,5
Farhana Akhter,70,male,Website,Adequate,4,4,4,5,4,4,4,4,4,5,4,4,5,4,5,4,4
Shafiul Islam,38,female,Youtube,User-Friendly,3,4,4,4,4,4,4,4,3,4,4,4,5,5,4,5,4
Asma Khanam,40,male,Website,Inconsistent Navigation,3,5,4,5,3,5,3,4,4,3,3,4,5,4,5,4,3
Jahangir Hossain,35,female,Instagram,Confusing,3,4,4,3,5,5,4,5,5,4,3,4,4,4,3,4,4
Shilpi Akhtar,32,male,Instagram,Adequate,4,3,4,5,4,5,5,4,5,5,4,5,3,4,5,4,4
Shariful Mia,31,female,Instagram,Confusing,4,4,4,4,4,4,4,4,4,5,3,4,3,4,4,4,4
Nasima Sultana,57,male,Instagram,User-Friendly,4,4,4,5,4,5,5,4,4,4,3,4,5,3,5,4,4
Rashedul Islam,34,female,Youtube,Clear and concise,3,3,4,4,5,4,5,4,3,4,3,4,4,4,5,4,4
Shabnam Akhter,75,male,Website,User-Friendly,4,3,5,5,4,4,5,5,3,4,3,5,3,3,4,5,4
Nasir Uddin,53,female,Website,Clear and concise,4,4,4,5,4,4,5,4,4,5,4,4,4,4,4,3,5
Bilkis Khanam,49,male,Twitter,Inconsistent Navigation,5,4,4,3,4,4,4,3,4,5,3,3,4,3,4,4,3
Abdul Hamid,38,female,Instagram,Intuitive,5,3,5,5,5,4,4,3,3,4,3,5,4,4,4,4,4
Moushumi Begum,51,male,Instagram,Engaging,4,4,5,5,4,4,5,5,5,4,5,4,4,4,4,5,3
Ziaul Haque,32,female,Website,User-Friendly,4,5,4,4,5,4,3,3,4,5,4,4,4,3,5,4,4
Shireen Akhtar,59,male,Website,Limited Menu Options,4,4,4,5,4,4,4,4,3,3,4,5,5,3,4,3,3
Rafiqul Haque,25,female,Instagram,Intuitive,4,3,3,3,5,4,5,5,4,5,4,5,4,3,3,5,5
Maruf Mia,59,male,Twitter,User-Friendly,5,4,4,4,5,3,4,4,4,3,5,4,5,4,4,3,5
Shirina Khanam,38,female,Instagram,Efficient,4,5,4,4,4,4,4,3,5,3,4,5,4,4,4,4,5
Kamaluddin,47,male,Instagram,Inconsistent Navigation,4,3,4,5,4,4,4,5,4,3,4,3,4,3,4,5,4
Jesmin Akhtar,51,female,Twitter,Efficient,4,4,3,5,3,5,4,4,5,5,4,4,4,4,4,3,3
Shamsul Haque,73,male,Instagram,Efficient,4,5,4,4,5,4,4,3,3,5,4,3,4,4,4,5,3
Razia Sultana,31,female,Twitter,Intuitive,3,4,4,3,4,3,5,5,4,4,5,4,5,4,3,4,3
Shamsul Islam,47,male,Instagram,Confusing,3,5,4,4,4,5,3,3,4,4,5,5,3,5,3,5,4
Shahnaj Akhtar,52,female,Twitter,Inconsistent Navigation,4,5,5,4,4,4,4,4,3,3,4,4,5,4,5,5,4
Abdul Razzaq,43,male,Twitter,Efficient,3,4,4,5,4,4,4,5,5,4,5,4,5,5,4,5,3
Tamanna Begum,30,female,Website,Limited Menu Options,4,4,3,4,4,4,4,5,3,4,4,4,4,4,4,5,4
Anisul Haque,42,male,Instagram,Efficient,4,4,4,4,4,5,5,5,4,4,4,4,4,4,5,4,5
Sufia Sultana,22,female,Twitter,Intuitive,4,4,4,4,3,5,4,3,4,4,5,5,4,5,4,5,5
Yusuf Ali,24,male,Twitter,Well-structured,3,4,3,4,4,4,4,4,4,4,3,4,4,4,4,4,5
Selina Akhtar,33,female,Youtube,Clear and concise,4,4,4,4,4,4,4,5,4,5,5,5,5,4,4,5,4
Nurul Kabir,33,male,Instagram,Inconsistent Navigation,5,4,4,5,4,4,4,4,5,5,4,5,4,3,4,5,4
Kohinoor Begum,68,female,Facebook,Inconsistent Navigation,4,5,5,5,4,5,4,3,4,3,4,3,4,4,4,5,4
Mujibur Mia,41,male,Website,Limited Menu Options,4,4,4,5,4,5,4,5,3,5,5,5,5,5,3,5,4
Mumtaz Akhtar,72,female,Twitter,Inconsistent Navigation,4,4,4,4,4,4,4,5,4,5,4,5,4,5,5,5,5
Shamim Hossain,21,male,Twitter,Intuitive,4,3,4,5,4,5,4,4,4,4,5,4,4,5,5,5,4
Sahida Akhtar,65,female,Facebook,Efficient,3,4,4,4,4,5,4,4,4,3,3,3,4,5,5,4,4
Jamal Uddin,56,male,Instagram,Efficient,4,5,4,5,3,5,4,5,4,4,3,4,4,4,5,4,5
Rina Khanam,19,female,Twitter,Clear and concise,5,5,4,4,5,5,5,5,5,5,5,5,4,3,5,4,3
Ruhul Amin,65,male,Facebook,Engaging,4,4,4,3,5,5,4,5,4,4,4,4,5,4,3,5,4
Sultana Khanam,27,female,Instagram,User-Friendly,4,3,3,4,4,3,4,4,4,3,5,3,4,4,5,4,3
Jahurul Haque,24,male,Instagram,Inconsistent Navigation,5,4,4,4,4,5,4,3,4,4,4,4,4,3,4,4,5
Sultana Begum,26,female,Website,Clear and concise,3,5,3,4,4,4,4,3,3,4,4,5,3,4,3,5,4
Amir Mia,61,male,Youtube,Well-structured,3,4,5,3,4,4,5,3,4,4,4,4,3,5,5,3,4
Marjina Akhtar,32,female,Website,Efficient,5,4,3,5,4,4,4,4,4,3,5,5,3,5,5,4,5
Mohsin Khan,52,male,Facebook,Intuitive,3,4,3,3,4,4,4,5,4,5,5,3,4,4,4,4,4
Shireena Sultana,40,female,Website,Intuitive,3,3,4,4,4,5,3,3,3,5,4,4,3,4,4,5,3
Zahirul Islam,36,male,Facebook,Inconsistent Navigation,3,3,5,4,4,4,4,5,5,5,4,4,3,4,4,4,4
Rina Akhter,73,female,Facebook,Clear and concise,3,4,3,4,4,4,3,4,4,4,4,5,3,4,5,3,4
Shafiqul Haque,44,male,Youtube,Well-structured,4,4,4,5,4,4,5,5,5,3,4,4,5,4,3,4,3
Sharifa Begum,39,female,Instagram,Clear and concise,4,4,4,4,4,5,4,3,4,5,3,4,5,4,5,4,3
Amin Mia,20,male,Instagram,Efficient,4,4,4,4,4,3,5,5,4,4,4,3,5,4,4,4,4
Laily Akhtar,48,female,Instagram,Confusing,5,4,4,4,4,4,5,4,3,4,4,3,3,5,4,5,4
Abdul Kadir,29,male,Website,Inconsistent Navigation,3,5,4,3,3,4,5,4,4,4,4,3,4,3,3,4,3
Marium Begum,35,female,Website,Adequate,5,5,4,4,5,3,4,5,4,3,5,4,5,4,3,5,5
Mahbubur Rahman,56,male,Youtube,Clear and concise,5,4,4,3,4,4,3,5,5,4,3,5,5,5,5,4,4
Rabeya Sultana,23,female,Instagram,Clear and concise,4,4,4,5,4,3,4,4,4,4,4,4,3,4,3,4,3
Shahjahan Mia,23,male,Twitter,Clear and concise,4,4,4,3,4,5,4,4,5,4,3,5,3,5,3,5,3
Mahmuda Akhtar,40,female,Facebook,Inconsistent Navigation,4,5,4,4,5,4,4,4,5,3,4,5,3,3,4,4,5
Anwarul Haque,63,male,Facebook,Intuitive,4,5,5,3,4,4,4,5,3,4,5,5,3,5,4,4,4
Nargis Sultana,43,female,Twitter,User-Friendly,4,4,5,4,4,4,4,4,5,5,3,5,4,4,4,5,3
Ismail Mia,66,male,Youtube,Clear and concise,5,4,3,4,4,5,4,4,3,4,4,5,5,4,4,3,5
Samina Akhtar,46,female,Twitter,Intuitive,5,5,3,4,3,4,4,4,4,3,5,3,4,5,5,5,4
Sirajul Haque,44,male,Twitter,User-Friendly,3,4,3,3,4,4,4,4,4,4,4,3,4,5,5,3,4
